Parameters: 1037249 Seed: 1234
Epoch	lr		Loss(Tr)	RMSE (val)	MAE(val)
196	0.0003624	580.1447		11.8315		9.2748
197	0.0003590	376.7857		11.0732		8.7027
198	0.0003557	470.2835		10.6936		8.8342
199	0.0003524	586.3585		11.7128		8.8388
200	0.0003490	492.6273		11.7977		8.7396
201	0.0003457	401.8472		11.7375		8.7883
202	0.0003423	224.7011		11.7505		8.8108
203	0.0003390	480.0954		12.0592		8.8868
204	0.0003356	454.2312		11.9515		8.9361
205	0.0003322	560.7636		12.0812		9.3185
206	0.0003289	447.3894		12.2749		8.9950
207	0.0003255	512.5340		11.8478		8.9248
208	0.0003222	408.8862		11.4349		8.8646
209	0.0003188	547.8346		11.8511		9.1510
210	0.0003154	419.3016		12.3572		9.0124
211	0.0003121	424.2095		11.8632		8.7738
212	0.0003087	470.0085		11.9739		8.8914
213	0.0003053	602.5381		11.3624		8.7726
214	0.0003020	579.4700		11.9217		8.9382
215	0.0002986	431.7785		12.3813		8.9384
216	0.0002952	316.9067		11.4069		8.7909
217	0.0002918	511.0112		12.0284		8.7982
218	0.0002885	351.5567		11.9427		8.8508
219	0.0002851	475.6521		12.0824		8.8530
220	0.0002817	459.8050		10.4646		8.8862
221	0.0002783	364.6103		11.3657		8.6682
222	0.0002749	482.7662		11.4830		8.5743
223	0.0002715	533.1983		11.9791		8.7842
224	0.0002681	476.0798		12.2434		8.8313
225	0.0002647	469.3089		11.2916		8.7797
226	0.0002614	405.7313		11.3359		8.7842
227	0.0002580	483.3485		12.0700		8.9425
228	0.0002545	504.4523		11.5871		9.0109
229	0.0002511	382.4022		10.6521		8.8558
230	0.0002477	383.4136		11.4526		8.9405
231	0.0002443	403.1843		12.1256		8.8798
232	0.0002409	458.4132		12.0860		8.8336
233	0.0002375	455.5871		12.4667		9.1357
234	0.0002341	343.0128		11.9399		9.0095
235	0.0002307	513.3672		12.0065		8.8009
236	0.0002272	456.7165		11.5515		8.7410
237	0.0002238	503.3760		10.5932		8.8770
238	0.0002204	562.3499		12.2290		8.9672
239	0.0002170	551.5598		12.6906		9.2422
240	0.0002135	490.9905		12.0993		8.9178
241	0.0002101	340.8547		11.8904		8.8346
242	0.0002067	459.1363		11.9721		8.7488
243	0.0002032	375.2768		12.2063		9.0006
244	0.0001998	460.7572		11.8633		8.9680
245	0.0001963	422.2832		11.6942		8.8590
246	0.0001929	402.7797		12.0179		8.8056
247	0.0001894	377.5364		11.9682		8.7515
248	0.0001860	433.8862		11.1650		8.8147
249	0.0001825	396.8020		11.9170		8.7346
250	0.0001790	359.7657		10.2032		8.6954
251	0.0001756	462.2560		11.6067		8.7416
252	0.0001721	419.8218		11.6112		8.7519
253	0.0001686	400.3476		10.9826		8.7348
254	0.0001651	387.1341		10.4470		8.7957
255	0.0001616	503.0857		11.5998		8.8238
256	0.0001582	507.1320		12.2709		8.9278
257	0.0001547	451.8834		12.1029		8.9328
258	0.0001512	442.9357		12.1859		8.8347
259	0.0001477	397.0843		11.8381		8.7375
260	0.0001442	520.7631		11.6365		8.8656
261	0.0001407	461.0466		11.8915		8.8882
262	0.0001371	397.4680		11.2598		8.7918
263	0.0001336	455.7541		12.0529		8.8875
264	0.0001301	533.6584		11.8881		8.8314
265	0.0001266	404.0970		11.6390		8.6937
266	0.0001230	526.1267		11.6189		8.6951
267	0.0001195	467.9394		11.5258		8.7165
268	0.0001160	499.8676		11.7384		8.8336
269	0.0001124	392.9226		12.0255		9.0948
270	0.0001089	534.8967		11.8606		8.8201
271	0.0001053	529.0784		12.1787		8.9896
272	0.0001017	420.4190		11.7791		8.9689
273	0.0000982	126.1135		12.0135		8.9077
274	0.0000946	425.5620		11.6808		8.8471
275	0.0000910	405.8638		12.3268		9.0154
276	0.0000874	447.1673		12.3175		8.9801
277	0.0000838	442.9405		10.6296		8.8310
278	0.0000802	399.8720		12.0983		8.8525
279	0.0000765	414.3157		11.9452		8.8476
280	0.0000729	337.9653		11.5489		8.8296
281	0.0000693	477.5325		12.3133		8.8926
282	0.0000656	448.8127		11.4150		8.9189
283	0.0000620	450.0925		11.8408		8.9339
284	0.0000583	306.3488		11.1445		8.8741
285	0.0000546	371.6656		11.3753		8.7917
286	0.0000509	339.7621		11.5544		8.7294
287	0.0000472	467.2475		11.8411		8.7347
288	0.0000435	481.6203		11.6346		8.7508
289	0.0000397	510.4568		11.3254		8.8463
290	0.0000360	377.9608		11.8515		8.7803
291	0.0000322	334.6963		10.4786		8.7205
292	0.0000284	441.0441		11.9679		8.7424
293	0.0000245	342.8878		11.9685		8.8067
294	0.0000207	412.4606		10.6772		8.8116
295	0.0000168	431.1071		10.4145		8.8033
296	0.0000128	374.3430		11.4795		8.9813
297	0.0000088	466.4649		11.4140		8.8506
298	0.0000047	511.1103		12.0143		8.8372
299	0.0000003	440.2817		11.9184		8.8064
